Субъект,Федеральный Округ,26.03,27.03,28.03,29.03,30.03,31.03,01.04,02.04,03.04,04.04,05.04,06.04,07.04,08.04,09.04,10.04,11.04,12.04,13.04,14.04,15.04,16.04,17.04,18.04,19.04,20.04,21.04,22.04,23.04,24.04,25.04,26.04,27.04,28.04,29.04,30.04,01.05,02.05,03.05,04.05,05.05,06.05,07.05,08.05,09.05,10.05,11.05,12.05,13.05,14.05,15.05,16.05,17.05,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,26.05,27.05,28.05,29.05,30.05,31.05,01.06,02.06,03.06,04.06,05.06,06.06,07.06,08.06,09.06,10.06,11.06,12.06
Воронежская Область,Центральный,0,0,0,0,0,0,2,2,2,2,4,4,9,9,9,9,10,12,12,16,19,20,24,24,28,28,30,30,30,38,38,42,57,57,57,74,74,84,113,131,140,148,218,261,327,332,342,355,428,494,552,614,641,653,721,758,837,918,982,1010,1026,1157,1235,1293,1342,1413,1419,1433,1499,1567,1595,1624,1688,1692,1699,1739,1817,1859,1944
Республика Дагестан,Северо-Кавказский,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,9,9,28,28,28,43,43,43,43,43,48,48,76,88,112,114,170,183,226,325,356,391,508,679,772,968,1008,1107,1318,1490,1570,1705,1807,2003,2266,2489,2882,3002,3267,3353,3809,4161,4402,4412,4422,4427,4442,4457,4477,4497,4520,4537,4562,4587,4611,4636,4662,4688
Еврейская АО,Дальневосточный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6,6,9,9,9,9,9,9,9,13,13,13,15,15,20,23,23,34,34,39,39,48,49,60,62,66,85,87,89,90,97,113,150,150,168,174,181,184,198,198,198,211,229,240,247,249,249,250,256,261,263,275
Забайкальский Край,Дальневосточный,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,7,13,13,14,14,25,26,39,49,53,67,78,83,88,92,104,111,115,132,140,157,178,195,212,225,254,268,301,341,371,381,385,417,447,470,470,513,538,548,576,633,708,750,807,837,862,942,951,996,1076
Ивановская Область,Центральный,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7,7,7,7,7,8,8,8,10,12,12,12,12,12,12,41,41,70,70,70,70,79,79,85,87,92,99,102,119,133,164,177,180,186,232,272,307,333,334,343,397,426,444,478,509,514,516,551,599,646,707,783,783,786,864,928,963,997,1063,1064,1091,1196,1238,1307,1348
Республика Ингушетия,Северо-Кавказский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,22,22,22,30,38,50,56,67,75,90,97,102,105,129,152,158,186,190,198,248,250,263,272,287,321,331,331,337,346,353,359,399,607,675,728,779,779,780,784,784,786,809,843,845,859,906,966,1193,1316,1432,1505,1508,1623,1652,1679,1850
Иркутская Область,Сибирский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,10,12,12,12,13,21,23,25,25,25,33,37,39,50,53,58,62,65,67,75,77,77,80,85,94,100,105,117,124,135,145,160,169,178,189,207,225,238,260,271,284,301,316,331,347,405,458,506,556,638,709,725,820,892,948,980
Кабардино-Балкарская Республика,Северо-Кавказский,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,8,8,8,8,11,15,15,21,21,28,28,50,62,78,91,101,122,136,147,156,169,192,199,223,261,294,310,319,356,407,420,461,515,524,536,560,567,588,602,643,824,983,1054,1143,1195,1272,1362,1457,1502,1549,1625,1649,1753,1821,1838,1874
Калининградская Область,Северо-Западный,1,1,1,1,1,2,5,5,5,5,5,5,8,9,9,9,12,16,16,16,24,26,28,30,30,35,41,42,45,48,49,59,59,66,66,66,73,98,114,114,123,143,154,169,175,188,207,216,247,277,323,339,361,383,423,459,465,471,530,534,534,556,587,588,593,629,630,630,670,698,718,740,763,779,782,847,922,950,976
Республика Калмыкия,Южный,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,9,9,9,9,9,9,9,9,12,14,16,19,19,19,24,37,38,39,41,53,53,53,54,69,94,102,105,129,146,168,183,195,211,228,250,258,262,283,322,344,350,354,383,401,431,450,477,484,510,518,556,577,609,614,624,631,697,734,751,776
